Company Name,Customer Class,Product,Effective Start Date (mm/dd/yyyy),Effective End Date(mm/dd/yyyy),Contract Length(months),Electricity $/kWh,Service Area
"Wholesale Power","Farm","3 Year Irrigation Discount Rate (+ Prudential)","03/15/2024","04/29/2024","36",="0.1165","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Wholesale Power","Farm","3 Year Irrigation Base Rate","03/15/2024","04/29/2024","36",="0.1195","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Wholesale Power","Home,Small Business,Farm","LO Export MicroGen Solar Club Rate ","03/15/2024","04/29/2024","36",="0.1145","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Wholesale Power","Farm","LO Export Irrigation MicroGen Solar Club Rate ","03/15/2024","04/29/2024","36",="0.1185","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Wholesale Power","Home,Small Business,Farm","LO Export MicroGen Solar Club Rate ","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Wholesale Power","Home,Small Business,Farm","3 Year Discount Rate (+ Prudential)","03/22/2023","10/31/2023","36",="0.119","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Bright Fire Energy","Home,Small Business","Fixed Rate Electricity","03/22/2023","02/29/2024","60",="0.1199","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,ENMAX,EPCOR,FortisAlberta"
"Ridge Utilities","Home,Small Business,Farm","LO-Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,UtilityNet,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Tassa Energy","Home,Small Business,Farm","LO Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Alberta Utility Source","Home,Small Business,Farm","LO Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,UtilityNet,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"EMPWR","Home,Small Business,Farm","3 Year Discount Electricity Rate (+ Prudential)","03/22/2023","10/31/2023","36",="0.1197","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Myrnam REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"EMPWR","Home,Small Business,Farm","3 Year Base Electricity Rate","03/22/2023","10/31/2023","36",="0.1261","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Myrnam REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"EMPWR","Home,Small Business,Farm","LO-Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Myrnam REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Vector Energy","Home,Small Business,Farm","LO-Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Foothills Energy Co-op","Home,Small Business,Farm","3 Year Green Discount (50% Green + Prudential)","03/22/2023","10/31/2023","36",="0.1282","ATCO Electric,ATCO Gas North,ATCO Gas South,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Foothills Energy Co-op","Home,Small Business,Farm","LO-Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Headwaters Utility","Home,Small Business,Farm","LO Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Myrnam REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,UtilityNet,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Azgard Energy","Home,Small Business,Farm","3 Year Discount Electricity Rate (+ Prudential)","03/22/2023","10/31/2023","36",="0.1195","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Myrnam REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,UtilityNet"
"Azgard Energy","Home,Small Business,Farm","3 Year Base Electricity Rate","03/22/2023","10/31/2023","36",="0.121","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Myrnam REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,UtilityNet"
"Azgard Energy","Home,Small Business,Farm","LO-Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Myrnam REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,UtilityNet"
"Ascend Energy","Home,Small Business,Farm","LO-Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,UtilityNet,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Airdrie Energy","Home,Small Business,Farm","LO Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Town of Ponoka,UtilityNet"
"Abode Power","Home,Small Business,Farm","LO Export MicroGen Solar Club Rate ","03/22/2023","03/07/2024","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,UtilityNet,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Wetaskiwin Power","Home,Small Business,Farm","LO-Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,UtilityNet"
"Rocky Mountain Community Energy","Home,Small Business,Farm","LO-Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,UtilityNet,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Rocky Mountain Community Energy","Farm","HI-Export Irrigation MicroGen Solar Club Rate","03/22/2023","11/01/2023","36",="0.285","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,UtilityNet,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Camrose Energy","Home,Small Business,Farm","LO-Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Adagio Energy","Home,Small Business,Farm","LO-Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Fluent Utilities","Home,Small Business,Farm","LO-Export Microgen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Myrnam REA Ltd.,Sterling REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"UTILITYNet","Home,Small Business,Farm","LO Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Brighter Futures Energy Inc.","Home,Small Business,Farm","LO Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Echo Energy","Home","3 Year Senior Residential Electricity Rate","03/22/2023","10/31/2023","36",="0.119","ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Echo Energy","Farm","3 Year Irrigation Green Electricity Rate (+50% Green)","03/22/2023","10/31/2023","36",="0.1516","ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Echo Energy","Home,Small Business,Farm","LO-Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Bow Valley Power","Home,Small Business,Farm","LO-Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Acorn Energy","Home,Small Business,Farm","LO Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Get Energy","Home,Small Business,Farm","LO-Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Mountain View Power","Home,Small Business,Farm","LO-Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"NewGen Energy","Home,Small Business,Farm","3 Year Electricity Base Rate","03/22/2023","10/31/2023","36",="0.1273","ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"NewGen Energy","Home,Small Business,Farm","LO-Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Park Power","Home,Small Business,Farm","LO-Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Solarmax Power","Home,Small Business,Farm","LO-Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","Apex Utilities Inc.,ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Spot Power","Home,Small Business,Farm","3 Year Electricity Base Rate","03/22/2023","10/31/2023","36",="0.127","ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd.,Zawale REA Ltd."
"Spot Power","Home,Small Business,Farm","LO Export MicroGen Solar Club Rate","03/22/2023","10/31/2023","36",="0.125","ATCO Electric,ATCO Gas North,ATCO Gas South,Battle River Power Coop,City of Lethbridge,City of Red Deer,ENMAX,EPCOR,FortisAlberta,Heart River REA Ltd.,Kneehill REA Ltd.,MacKenzie REA Ltd.,Mayerthorpe &amp; Dist. REA Ltd.,Montana REA Ltd.,Sterling REA Ltd.,Stony Plain REA Ltd.,Tomahawk REA Ltd.,Town of Cardston,Town of Ponoka,West Liberty REA Ltd.,West Wetaskiwin REA Ltd.,Willingdon REA Ltd."
